id,code,name,business_name
catalogos_banco80,646,STP,"Sistema de Transferencias y Pagos STP, S.A. de C.V.SOFOM ENR"
catalogos_banco81,647,TELECOMM,Telecomunicaciones de México
catalogos_banco82,648,EVERCORE,"Evercore Casa de Bolsa, S.A. de C.V."
catalogos_banco83,649,SKANDIA,"Skandia Operadora de Fondos, S.A. de C.V."
catalogos_banco84,651,SEGMTY,"Seguros Monterrey New York Life, S.A de C.V"
catalogos_banco85,652,ASEA,"Solución Asea, S.A. de C.V., Sociedad Financiera Popular"
catalogos_banco86,653,KUSPIT,"Kuspit Casa de Bolsa, S.A. de C.V."
catalogos_banco87,655,SOFIEXPRESS,"J.P. SOFIEXPRESS, S.A. de C.V., S.F.P."
catalogos_banco88,656,UNAGRA,"UNAGRA, S.A. de C.V., S.F.P."
catalogos_banco89,659,"OPCIONES EMPRESARIALES
DEL NOROESTE","OPCIONES EMPRESARIALES DEL NORESTE, S.A. DE C.V., S.F.P."
catalogos_banco90,901,CLS,Cls Bank International
catalogos_banco91,902,INDEVAL,"SD. Indeval, S.A. de C.V."
catalogos_banco92,670,LIBERTAD,"Libertad Servicios Financieros, S.A. De C.V."
catalogos_banco93,999,N/A,
